aid	aircrafttype	tasktype	standpointid	runwayid	startime	P
T10445	1	1	P_206	33	1643418069	P_1299,P_1297_1
T10448	1	1	P_279	33	1643418091	P_1299,P_1297_1
T10446	1	1	P_518	33	1643418176	P_1299,P_1297_1
T21924	1	0	P_54	34	1643418264	P_34
T21925	1	0	P_312	34	1643418399	P_34
T10447	1	1	P_97	33	1643418463	P_1299,P_1297_1
T10449	1	1	P_263	33	1643418471	P_1299,P_1297_1
T21926	1	0	P_118	34	1643418671	P_34
T10450	1	1	P_230	33	1643418750	P_1299,P_1297_1
T10451	1	1	P_1523	33	1643418884	P_1375_1
T21927	1	0	P_101	34	1643418917	P_39
T10452	1	1	P_1127	33	1643418919	P_1299,P_1297_1
T21928	1	0	P_1453	33	1643418983	P_912
T10456	1	1	P_521	33	1643419052	P_1299,P_1297_1
T10454	1	1	P_229	33	1643419086	P_1299,P_1297_1
T21929	1	0	P_267	34	1643419151	P_34
T10455	1	1	P_198	33	1643419190	P_1299,P_1297_1
T21930	1	0	P_271	34	1643419318	P_34
T10453	1	1	P_1399	33	1643419382	P_1375_1
T10457	2	1	P_1128	33	1643419508	P_1299,P_1297_1
T10458	1	1	P_534	33	1643419619	P_1299,P_1297_1
T10460	1	1	P_196	33	1643419650	P_1299,P_1297_1
T21931	1	0	P_98	34	1643419733	P_34
T21932	1	0	P_200	34	1643419932	P_34
T10459	1	1	P_1268	33	1643420180	P_1375_1
T10465	1	1	P_1124	33	1643420236	P_1299,P_1297_1
T10463	1	1	P_231	33	1643420290	P_1299,P_1297_1
T10461	1	1	P_313	33	1643420423	P_1299,P_1297_1
T10464	1	1	P_96	33	1643420442	P_1299,P_1297_1
T21933	1	0	P_299	34	1643420508	P_34
T21934	1	0	P_1510	33	1643420651	P_912
T10462	1	1	P_935	33	1643420679	P_1375_1
T21935	1	0	P_273	34	1643420758	P_34
T21936	2	0	P_835	34	1643420867	P_21
T10466	1	1	P_304	33	1643420894	P_1299,P_1297_1
T10468	1	1	P_88	33	1643420962	P_1299,P_1297_1
T21937	2	0	P_298	34	1643421028	P_21
T21938	1	0	P_264	34	1643421171	P_34
T10467	1	1	P_300	33	1643421241	P_1299,P_1297_1
T21939	1	0	P_305	34	1643421283	P_34
T10469	1	1	P_1360	33	1643421328	P_1299,P_1297_1
T10473	1	1	P_274	33	1643421333	P_1299,P_1297_1
T21940	1	0	P_412	34	1643421426	P_34
T21941	1	0	P_1129	34	1643421527	P_34
T10471	1	1	P_302	33	1643421620	P_1299,P_1297_1
T10470	1	1	P_791	33	1643421639	P_1375_1
T21942	1	0	P_103	34	1643421644	P_34
T10472	2	1	P_133	33	1643421749	P_1299,P_1297_1
T21943	1	0	P_268	34	1643421781	P_34
T10474	1	1	P_1132	33	1643421830	P_1299,P_1297_1
T21944	2	0	P_102	34	1643421888	P_21
T21945	2	0	P_1483	33	1643422023	P_998
T10477	1	1	P_278	33	1643422041	P_1299,P_1297_1
T10475	1	1	P_410	33	1643422077	P_1299,P_1297_1
T21946	1	0	P_306	34	1643422143	P_34
T10476	1	1	P_303	33	1643422145	P_1299,P_1297_1
